row_id,input_url,content_type,text_raw,text_norm,sentiment_label,sentiment_confidence,watch_intent_label,watch_intent_confidence,confusion_flag,theme_id,theme_label,theme_human_label,theme_description,theme_confidence,is_canonical,canonical_id,label_source
r11,https://www.instagram.com/reel/DW20px2kiNY/,comment,That was smooooth....,that was smooooth....,pos,0.3563,low,0.3471,0,t4,was_looks_smooth,Smooth and Youthful,"Comments focus on someone appearing smooth, young, or attractive.",0.9179,1,c10,llm
r12,https://www.instagram.com/reel/DW20px2kiNY/,comment,,,,,,,,,,,,,0,,
r13,https://www.instagram.com/reel/DW20px2kiNY/,comment,,,,,,,,,,,,,0,,
r14,https://www.instagram.com/reel/DW20px2kiNY/,comment,??????,??????,neu,0.3815,low,0.3477,1,t8,what_word_name,Exclamations and Questions,"Short, often emoji-filled comments expressing surprise or asking basic questions.",0.9583,1,c11,llm
r15,https://www.instagram.com/reel/DW20px2kiNY/,comment,??,??,neu,0.3826,low,0.3469,1,t8,what_word_name,Exclamations and Questions,"Short, often emoji-filled comments expressing surprise or asking basic questions.",0.9594,1,c12,llm
r16,https://www.instagram.com/reel/DW20px2kiNY/,comment,"It literally screams, ""That's how I met your mother."" ????","it literally screams, ""that's how i met your mother."" ????",neu,0.3525,low,0.3520,1,t4,was_looks_smooth,Smooth and Youthful,"Comments focus on someone appearing smooth, young, or attractive.",0.8856,1,c13,llm
r17,https://www.instagram.com/reel/DW20px2kiNY/,comment,,,,,,,,,,,,,0,,
r18,https://www.instagram.com/reel/DW20px2kiNY/,comment,,,,,,,,,,,,,0,,
r19,https://www.instagram.com/reel/DW20px2kiNY/,reply,????????,????????,neu,0.3793,low,0.3544,1,t8,what_word_name,Exclamations and Questions,"Short, often emoji-filled comments expressing surprise or asking basic questions.",0.9333,1,c14,llm
r20,https://www.instagram.com/reel/DW20px2kiNY/,comment,??,??,neu,0.3826,low,0.3469,1,t8,what_word_name,Exclamations and Questions,"Short, often emoji-filled comments expressing surprise or asking basic questions.",0.9594,0,c12,llm
r21,https://www.instagram.com/reel/DW20px2kiNY/,comment,Imagine the amount of time he had this rizz in his mind and pulled it when the right time comes ??,imagine the amount of time he had this rizz in his mind and pulled it when the right time comes ??,pos,0.3529,high,0.3572,1,t4,was_looks_smooth,Smooth and Youthful,"Comments focus on someone appearing smooth, young, or attractive.",0.8619,1,c15,llm
r22,https://www.instagram.com/reel/DW20px2kiNY/,comment,,,,,,,,,,,,,0,,
r23,https://www.instagram.com/reel/DW20px2kiNY/,comment,????????,????????,neu,0.3793,low,0.3544,1,t8,what_word_name,Exclamations and Questions,"Short, often emoji-filled comments expressing surprise or asking basic questions.",0.9333,0,c14,llm
r24,https://www.instagram.com/reel/DW20px2kiNY/,comment,They both kneed Brain ??,they both kneed brain ??,neg,0.3528,low,0.3481,1,t7,kneed_knee_need,Wordplay on 'Knee',"Comments playing on the words 'need' and 'knee', often with humorous intent.",0.9098,1,c16,llm
r25,https://www.instagram.com/reel/DW20px2kiNY/,reply,@amroyall ????,????,neu,0.3856,med,0.3562,1,t8,what_word_name,Exclamations and Questions,"Short, often emoji-filled comments expressing surprise or asking basic questions.",0.9464,0,c8,model
r26,https://www.instagram.com/reel/DW20px2kiNY/,reply,@amroyall ??,??,neu,0.3826,low,0.3469,1,t8,what_word_name,Exclamations and Questions,"Short, often emoji-filled comments expressing surprise or asking basic questions.",0.9594,0,c12,llm
r27,https://www.instagram.com/reel/DW20px2kiNY/,reply,@amroyall may be brain in knee.. ????,may be brain in knee.. ????,neg,0.3670,low,0.3465,1,t7,kneed_knee_need,Wordplay on 'Knee',"Comments playing on the words 'need' and 'knee', often with humorous intent.",0.8925,1,c17,llm
r28,https://www.instagram.com/reel/DW20px2kiNY/,comment,Kneed?need???,kneed?need???,neg,0.3702,low,0.3429,1,t7,kneed_knee_need,Wordplay on 'Knee',"Comments playing on the words 'need' and 'knee', often with humorous intent.",0.9457,1,c18,llm
r29,https://www.instagram.com/reel/DW20px2kiNY/,comment,Which movie,which movie,neu,0.3696,high,0.3781,0,t6,movie_name_what,Media Identification,Users are asking for the name of the movie or show being featured.,0.9372,1,c19,llm
r30,https://www.instagram.com/reel/DW20px2kiNY/,comment,That's a new word for me,that's a new word for me,neu,0.3747,med,0.3576,1,t8,what_word_name,Exclamations and Questions,"Short, often emoji-filled comments expressing surprise or asking basic questions.",0.8709,1,c20,llm
r31,https://www.instagram.com/reel/DW20px2kiNY/,comment,and how they meet together.,and how they meet together.,neu,0.3770,med,0.3564,1,t2,step_just_can,Step-by-Step Instructions,Comments outlining a series of steps to achieve a goal.,0.8203,1,c21,llm
r32,https://www.instagram.com/reel/DW20px2kiNY/,reply,@bryce._crawford ????,._crawford ????,neu,0.3612,low,0.3424,1,t8,what_word_name,Exclamations and Questions,"Short, often emoji-filled comments expressing surprise or asking basic questions.",0.8813,1,c22,llm
r33,https://www.instagram.com/reel/DW20px2kiNY/,comment,Bro was waiting for this moment for a long time ??,bro was waiting for this moment for a long time ??,pos,0.3506,high,0.3449,0,t4,was_looks_smooth,Smooth and Youthful,"Comments focus on someone appearing smooth, young, or attractive.",0.8830,1,c23,llm
r34,https://www.instagram.com/reel/DW20px2kiNY/,comment,Now I need paracetamol ??,now i need paracetamol ??,neu,0.3572,low,0.3396,1,t2,step_just_can,Step-by-Step Instructions,Comments outlining a series of steps to achieve a goal.,0.8594,1,c24,llm
r35,https://www.instagram.com/reel/DW20px2kiNY/,comment,Bohot mehnge khaab hn ye imagine mt krne lg jana??,bohot mehnge khaab hn ye imagine mt krne lg jana??,neu,0.3530,low,0.3520,0,t2,step_just_can,Step-by-Step Instructions,Comments outlining a series of steps to achieve a goal.,0.8602,1,c25,llm
r36,https://www.instagram.com/reel/DW20px2kiNY/,comment,"If rizz was a person, this guy would be its father ??","if rizz was a person, this guy would be its father ??",pos,0.3464,high,0.3469,0,t4,was_looks_smooth,Smooth and Youthful,"Comments focus on someone appearing smooth, young, or attractive.",0.8776,1,c26,llm
r37,https://www.instagram.com/reel/DW20px2kiNY/,comment,Which tv series/movie?,which tv series/movie?,neu,0.3728,high,0.4086,1,t6,movie_name_what,Media Identification,Users are asking for the name of the movie or show being featured.,0.9215,1,c27,llm
r38,https://www.instagram.com/reel/DW20px2kiNY/,reply,@srinath_sriram just a sketch,just a sketch,neu,0.3678,low,0.3471,0,t2,step_just_can,Step-by-Step Instructions,Comments outlining a series of steps to achieve a goal.,0.8816,1,c28,llm
r39,https://www.instagram.com/reel/DW20px2kiNY/,reply,@lukester_177 whyyyyy. ??,whyyyyy. ??,neu,0.3756,low,0.3426,0,t8,what_word_name,Exclamations and Questions,"Short, often emoji-filled comments expressing surprise or asking basic questions.",0.9070,1,c29,llm
r40,https://www.instagram.com/reel/DW20px2kiNY/,comment,Bro rizzy is from the moon ????,bro rizzy is from the moon ????,neu,0.3517,low,0.3458,1,t4,was_looks_smooth,Smooth and Youthful,"Comments focus on someone appearing smooth, young, or attractive.",0.8446,1,c30,llm
r41,https://www.instagram.com/reel/DW20px2kiNY/,reply,@iden_tyzooo ????,????,neu,0.3856,med,0.3562,1,t8,what_word_name,Exclamations and Questions,"Short, often emoji-filled comments expressing surprise or asking basic questions.",0.9464,0,c8,model
r42,https://www.instagram.com/reel/DW20px2kiNY/,comment,Movie name?,movie name?,neu,0.3731,high,0.3830,1,t6,movie_name_what,Media Identification,Users are asking for the name of the movie or show being featured.,0.9590,1,c31,llm
r43,https://www.instagram.com/reel/DW20px2kiNY/,comment,Is she the same from game of thrones??,is she the same from game of thrones??,neu,0.3613,med,0.3638,0,t1,she_her_women,Observations on Women,"Comments discussing women's reactions, needs, or behaviors.",0.8647,1,c32,llm
r44,https://www.instagram.com/reel/DW20px2kiNY/,comment,I'm gonna use this one. Wish me luck ??,i'm gonna use this one. wish me luck ??,neu,0.3703,med,0.3529,1,t2,step_just_can,Step-by-Step Instructions,Comments outlining a series of steps to achieve a goal.,0.9154,1,c33,model
r45,https://www.instagram.com/reel/DW20px2kiNY/,comment,Ducking english ??,ducking english ??,neu,0.3671,low,0.3525,1,t8,what_word_name,Exclamations and Questions,"Short, often emoji-filled comments expressing surprise or asking basic questions.",0.8769,1,c34,model
r46,https://www.instagram.com/reel/DW20px2kiNY/,reply,@incredible_watiqueali ????,????,neu,0.3856,med,0.3562,1,t8,what_word_name,Exclamations and Questions,"Short, often emoji-filled comments expressing surprise or asking basic questions.",0.9464,0,c8,model
r47,https://www.instagram.com/reel/DW20px2kiNY/,comment,Knee you ? need you ???,knee you ? need you ???,neu,0.3616,low,0.3471,1,t7,kneed_knee_need,Wordplay on 'Knee',"Comments playing on the words 'need' and 'knee', often with humorous intent.",0.9410,1,c35,model
r48,https://www.instagram.com/reel/DW20px2kiNY/,reply,@avijitsarkar099 what about past?,what about past?,neu,0.3842,med,0.3456,1,t8,what_word_name,Exclamations and Questions,"Short, often emoji-filled comments expressing surprise or asking basic questions.",0.8855,1,c36,model
r49,https://www.instagram.com/reel/DW20px2kiNY/,comment,,,,,,,,,,,,,0,,
r50,https://www.instagram.com/reel/DW20px2kiNY/,comment,New strat,new strat,neu,0.3634,med,0.3388,0,t2,step_just_can,Step-by-Step Instructions,Comments outlining a series of steps to achieve a goal.,0.9006,1,c37,model
r51,https://www.instagram.com/reel/DW20px2kiNY/,reply,??,??,neu,0.3826,low,0.3469,1,t8,what_word_name,Exclamations and Questions,"Short, often emoji-filled comments expressing surprise or asking basic questions.",0.9594,0,c12,llm
r52,https://www.instagram.com/reel/DW20px2kiNY/,comment,Where is Duolingo,where is duolingo,neu,0.3709,high,0.3612,1,t8,what_word_name,Exclamations and Questions,"Short, often emoji-filled comments expressing surprise or asking basic questions.",0.8461,1,c38,model
r53,https://www.instagram.com/reel/DW20px2kiNY/,comment,@pratik_gaikwad486  aisaa smooth kab khela tha,aisaa smooth kab khela tha,neu,0.3533,low,0.3367,0,t4,was_looks_smooth,Smooth and Youthful,"Comments focus on someone appearing smooth, young, or attractive.",0.8745,1,c39,model
r54,https://www.instagram.com/reel/DW20px2kiNY/,reply,@rishi_metangale meh nahi khelta ?????,meh nahi khelta ?????,neu,0.3610,low,0.3597,1,t8,what_word_name,Exclamations and Questions,"Short, often emoji-filled comments expressing surprise or asking basic questions.",0.8690,1,c40,model
r55,https://www.instagram.com/reel/DW20px2kiNY/,comment,"your. or You’re.  or 
you are  gonna fall for that. ?",your. or you’re. or you are gonna fall for that. ?,neu,0.3630,med,0.3519,1,t0,get_your_now,Personal Statements,"Comments expressing personal needs, opinions, or future actions.",0.8655,1,c41,model
r56,https://www.instagram.com/reel/DW20px2kiNY/,comment,"Anything after her information and his clarification should have been from him ""I'm going back to sleep now, have a great trip.""","anything after her information and his clarification should have been from him ""i'm going back to sleep now, have a great trip.""",neu,0.3627,low,0.3573,0,t9,over_was_just,Speeding and Traffic Stops,"Discussions related to speeding, traffic tickets, and being pulled over.",0.8412,1,c42,model
r57,https://www.instagram.com/reel/DW20px2kiNY/,comment,Don't be so happy. Never gonna happen with you.,don't be so happy. never gonna happen with you.,neg,0.3468,low,0.3813,0,t0,get_your_now,Personal Statements,"Comments expressing personal needs, opinions, or future actions.",0.9144,1,c43,model
r58,https://www.instagram.com/reel/DW20px2kiNY/,reply,@santoshsahoo077 screw you,screw you,neg,0.3833,low,0.3870,0,t11,killer_service_name,Positive Affirmations,"Short, positive comments like 'yes' or 'welcome'.",0.8911,1,c44,model
r59,https://www.instagram.com/reel/DW20px2kiNY/,comment,I am using this one,i am using this one,neu,0.3585,med,0.3360,0,t2,step_just_can,Step-by-Step Instructions,Comments outlining a series of steps to achieve a goal.,0.9036,1,c45,model
r60,https://www.instagram.com/reel/DW20px2kiNY/,comment,????,????,neu,0.3856,med,0.3562,1,t8,what_word_name,Exclamations and Questions,"Short, often emoji-filled comments expressing surprise or asking basic questions.",0.9464,0,c8,model
r61,https://www.instagram.com/reel/DW20px2kiNY/,comment,Og,og,neu,0.3486,low,0.3565,0,t11,killer_service_name,Positive Affirmations,"Short, positive comments like 'yes' or 'welcome'.",0.9443,1,c46,model
r62,https://www.instagram.com/reel/DW20px2kiNY/,comment,Hella smooth ??,hella smooth ??,neu,0.3572,med,0.3379,1,t4,was_looks_smooth,Smooth and Youthful,"Comments focus on someone appearing smooth, young, or attractive.",0.9292,1,c47,model
r63,https://www.instagram.com/reel/DW20px2kiNY/,comment,Explain,explain,neu,0.3744,med,0.3447,1,t11,killer_service_name,Positive Affirmations,"Short, positive comments like 'yes' or 'welcome'.",0.8942,1,c48,model
r64,https://www.instagram.com/reel/DW20px2kiNY/,comment,"Series, movies or just an ad?","series, movies or just an ad?",neu,0.3671,high,0.3804,1,t6,movie_name_what,Media Identification,Users are asking for the name of the movie or show being featured.,0.9025,1,c49,model
r65,https://www.instagram.com/reel/DW20px2kiNY/,comment,??????????,??????????,neu,0.3787,med,0.3490,1,t8,what_word_name,Exclamations and Questions,"Short, often emoji-filled comments expressing surprise or asking basic questions.",0.9324,1,c50,model
r66,https://www.instagram.com/reel/DW20px2kiNY/,comment,Bro's rizz is universe level ???,bro's rizz is universe level ???,pos,0.3466,high,0.3378,1,t4,was_looks_smooth,Smooth and Youthful,"Comments focus on someone appearing smooth, young, or attractive.",0.9066,1,c51,model
r67,https://www.instagram.com/reel/DW20px2kiNY/,comment,??,??,neu,0.3826,low,0.3469,1,t8,what_word_name,Exclamations and Questions,"Short, often emoji-filled comments expressing surprise or asking basic questions.",0.9594,0,c12,llm
r68,https://www.instagram.com/reel/DW20px2kiNY/,comment,??,??,neu,0.3826,low,0.3469,1,t8,what_word_name,Exclamations and Questions,"Short, often emoji-filled comments expressing surprise or asking basic questions.",0.9594,0,c12,llm
r69,https://www.instagram.com/reel/DW20px2kiNY/,comment,,,,,,,,,,,,,0,,
r70,https://www.instagram.com/reel/DW20px2kiNY/,comment,,,,,,,,,,,,,0,,
r71,https://www.instagram.com/reel/DW20px2kiNY/,comment,Well played ????,well played ????,pos,0.3544,high,0.3366,1,t4,was_looks_smooth,Smooth and Youthful,"Comments focus on someone appearing smooth, young, or attractive.",0.8934,1,c52,model
r72,https://www.instagram.com/reel/DW20px2kiNY/,comment,Bhai that was something ??,bhai that was something ??,neu,0.3686,med,0.3522,1,t4,was_looks_smooth,Smooth and Youthful,"Comments focus on someone appearing smooth, young, or attractive.",0.9081,1,c53,model
r73,https://www.instagram.com/reel/DW20px2kiNY/,comment,Anyone plz cmnt who knows this movie name ?,anyone plz cmnt who knows this movie name ?,neu,0.3649,high,0.3806,1,t6,movie_name_what,Media Identification,Users are asking for the name of the movie or show being featured.,0.9027,1,c54,model
r74,https://www.instagram.com/reel/DW20px2kiNY/,comment,??,??,neu,0.3826,low,0.3469,1,t8,what_word_name,Exclamations and Questions,"Short, often emoji-filled comments expressing surprise or asking basic questions.",0.9594,0,c12,llm
r75,https://www.instagram.com/reel/DW20px2kiNY/,reply,@bynedanovski ????,????,neu,0.3856,med,0.3562,1,t8,what_word_name,Exclamations and Questions,"Short, often emoji-filled comments expressing surprise or asking basic questions.",0.9464,0,c8,model
r76,https://www.instagram.com/reel/DW20px2kiNY/,comment,oh ! this is so cute ????,oh ! this is so cute ????,pos,0.3569,med,0.3518,1,t4,was_looks_smooth,Smooth and Youthful,"Comments focus on someone appearing smooth, young, or attractive.",0.9001,1,c55,model
r77,https://www.instagram.com/reel/DW20px2kiNY/,comment,U play very well ??,u play very well ??,pos,0.3575,med,0.3398,1,t4,was_looks_smooth,Smooth and Youthful,"Comments focus on someone appearing smooth, young, or attractive.",0.8724,1,c56,model
r78,https://www.instagram.com/reel/DW20px2kiNY/,comment,Okay talk about falling into the greatest line ever that's awesome??,okay talk about falling into the greatest line ever that's awesome??,pos,0.3797,med,0.3510,1,t4,was_looks_smooth,Smooth and Youthful,"Comments focus on someone appearing smooth, young, or attractive.",0.8316,1,c57,model
r79,https://www.instagram.com/reel/DW20px2kiNY/,comment,??,??,neu,0.3826,low,0.3469,1,t8,what_word_name,Exclamations and Questions,"Short, often emoji-filled comments expressing surprise or asking basic questions.",0.9594,0,c12,llm
r80,https://www.instagram.com/reel/DW20px2kiNY/,comment,,,,,,,,,,,,,0,,
r81,https://www.instagram.com/reel/DW20px2kiNY/,comment,Any woman that touches your balls the first time you meet is a potential keeper ...,any woman that touches your balls the first time you meet is a potential keeper ...,neu,0.3553,med,0.3654,0,t1,she_her_women,Observations on Women,"Comments discussing women's reactions, needs, or behaviors.",0.8385,1,c58,model
r82,https://www.instagram.com/reel/DW20px2kiNY/,reply,@buzztaxitm ????,????,neu,0.3856,med,0.3562,1,t8,what_word_name,Exclamations and Questions,"Short, often emoji-filled comments expressing surprise or asking basic questions.",0.9464,0,c8,model
r83,https://www.instagram.com/reel/DW20px2kiNY/,comment,Thats how chutiya english is,thats how chutiya english is,neu,0.3410,low,0.3431,0,t4,was_looks_smooth,Smooth and Youthful,"Comments focus on someone appearing smooth, young, or attractive.",0.8628,1,c59,model
r84,https://www.instagram.com/reel/DW20px2kiNY/,comment,????,????,neu,0.3856,med,0.3562,1,t8,what_word_name,Exclamations and Questions,"Short, often emoji-filled comments expressing surprise or asking basic questions.",0.9464,0,c8,model
r85,https://www.instagram.com/reel/DW20px2kiNY/,comment,??,??,neu,0.3826,low,0.3469,1,t8,what_word_name,Exclamations and Questions,"Short, often emoji-filled comments expressing surprise or asking basic questions.",0.9594,0,c12,llm
r86,https://www.instagram.com/reel/DW20px2kiNY/,comment,That was smooth though,that was smooth though,pos,0.3592,med,0.3512,0,t4,was_looks_smooth,Smooth and Youthful,"Comments focus on someone appearing smooth, young, or attractive.",0.9103,1,c60,model
r87,https://www.instagram.com/reel/DW20px2kiNY/,comment,@yogeshwar_behara,,,,,,,,,,,,0,,
r88,https://www.instagram.com/reel/DW20px2kiNY/,comment,??????????,??????????,neu,0.3787,med,0.3490,1,t8,what_word_name,Exclamations and Questions,"Short, often emoji-filled comments expressing surprise or asking basic questions.",0.9324,0,c50,model
r89,https://www.instagram.com/reel/DW20px2kiNY/,comment,??????????,??????????,neu,0.3787,med,0.3490,1,t8,what_word_name,Exclamations and Questions,"Short, often emoji-filled comments expressing surprise or asking basic questions.",0.9324,0,c50,model
r90,https://www.instagram.com/reel/DW20px2kiNY/,comment,??????????????????,??????????????????,neu,0.3739,med,0.3471,1,t8,what_word_name,Exclamations and Questions,"Short, often emoji-filled comments expressing surprise or asking basic questions.",0.9250,1,c61,model
r91,https://www.instagram.com/reel/DW20px2kiNY/,reply,??,??,neu,0.3826,low,0.3469,1,t8,what_word_name,Exclamations and Questions,"Short, often emoji-filled comments expressing surprise or asking basic questions.",0.9594,0,c12,llm
r92,https://www.instagram.com/reel/DW20px2kiNY/,comment,??,??,neu,0.3826,low,0.3469,1,t8,what_word_name,Exclamations and Questions,"Short, often emoji-filled comments expressing surprise or asking basic questions.",0.9594,0,c12,llm
r93,https://www.instagram.com/reel/DW20px2kiNY/,comment,6,6,neu,0.3611,low,0.3482,0,t11,killer_service_name,Positive Affirmations,"Short, positive comments like 'yes' or 'welcome'.",0.9267,1,c62,model
r94,https://www.instagram.com/reel/DW20px2kiNY/,comment,,,,,,,,,,,,,0,,
r95,https://www.instagram.com/reel/DW20px2kiNY/,comment,There’s no way any dude with any self-respect would entertain any fucking chick that starts acting like that,there’s no way any dude with any self-respect would entertain any fucking chick that starts acting like that,neg,0.3668,low,0.3608,0,t1,she_her_women,Observations on Women,"Comments discussing women's reactions, needs, or behaviors.",0.8655,1,c63,model
r96,https://www.instagram.com/reel/DW20px2kiNY/,comment,Nah I'm gonna hit a jab to a 9 year old boy,nah i'm gonna hit a jab to a 9 year old boy,neg,0.3456,low,0.3541,0,t0,get_your_now,Personal Statements,"Comments expressing personal needs, opinions, or future actions.",0.8529,1,c64,model
r97,https://www.instagram.com/reel/DW20px2kiNY/,comment,????????,????????,neu,0.3793,low,0.3544,1,t8,what_word_name,Exclamations and Questions,"Short, often emoji-filled comments expressing surprise or asking basic questions.",0.9333,0,c14,llm
r98,https://www.instagram.com/reel/DW20px2kiNY/,reply,@yo_itsmetanner ????,????,neu,0.3856,med,0.3562,1,t8,what_word_name,Exclamations and Questions,"Short, often emoji-filled comments expressing surprise or asking basic questions.",0.9464,0,c8,model
r99,https://www.instagram.com/reel/DW20px2kiNY/,comment,,,,,,,,,,,,,0,,
r100,https://www.instagram.com/reel/DW20px2kiNY/,comment,,,,,,,,,,,,,0,,
r101,https://www.instagram.com/reel/DW20px2kiNY/,comment,,,,,,,,,,,,,0,,
r102,https://www.instagram.com/reel/DW20px2kiNY/,comment,Movie name?,movie name?,neu,0.3731,high,0.3830,1,t6,movie_name_what,Media Identification,Users are asking for the name of the movie or show being featured.,0.9590,0,c31,llm
r103,https://www.instagram.com/reel/DW20px2kiNY/,comment,Did they do it,did they do it,neu,0.3713,med,0.3436,0,t10,not_pilot_season,AI or Fake Content,Comments questioning if the content is AI-generated or not real.,0.8751,1,c65,model
r104,https://www.instagram.com/reel/DW20px2kiNY/,comment,Nice ????,nice ????,neu,0.3609,med,0.3488,1,t11,killer_service_name,Positive Affirmations,"Short, positive comments like 'yes' or 'welcome'.",0.9328,1,c66,model
r105,https://www.instagram.com/reel/DW20px2kiNY/,comment,????,????,neu,0.3856,med,0.3562,1,t8,what_word_name,Exclamations and Questions,"Short, often emoji-filled comments expressing surprise or asking basic questions.",0.9464,0,c8,model
r106,https://www.instagram.com/reel/DW20px2kiNY/,comment,,,,,,,,,,,,,0,,
r107,https://www.instagram.com/reel/DW20px2kiNY/,comment,I think I would fall in love on the spot??????,i think i would fall in love on the spot??????,neu,0.3534,med,0.3669,1,t2,step_just_can,Step-by-Step Instructions,Comments outlining a series of steps to achieve a goal.,0.8456,1,c67,model
r108,https://www.instagram.com/reel/DW20px2kiNY/,comment,Smooothhh,smooothhh,pos,0.3506,low,0.3503,0,t4,was_looks_smooth,Smooth and Youthful,"Comments focus on someone appearing smooth, young, or attractive.",0.9125,1,c68,model
r109,https://www.instagram.com/reel/DW20px2kiNY/,comment,Pindriye !!! Indha karumam dhane vara maatingidhu,pindriye !!! indha karumam dhane vara maatingidhu,neu,0.3439,low,0.3404,0,t2,step_just_can,Step-by-Step Instructions,Comments outlining a series of steps to achieve a goal.,0.8608,1,c69,model
r110,https://www.instagram.com/reel/DW20px2kiNY/,comment,,,,,,,,,,,,,0,,
r111,https://www.instagram.com/reel/DW20px2kiNY/,comment,,,,,,,,,,,,,0,,
r112,https://www.instagram.com/reel/DW20px2kiNY/,comment,Which movie??,which movie??,neu,0.3701,high,0.3850,1,t6,movie_name_what,Media Identification,Users are asking for the name of the movie or show being featured.,0.9537,1,c70,model
r113,https://www.instagram.com/reel/DW20px2kiNY/,comment,"Only in movies only in movies. Don’t over think, only in movies","only in movies only in movies. don’t over think, only in movies",neu,0.3558,low,0.3423,0,t6,movie_name_what,Media Identification,Users are asking for the name of the movie or show being featured.,0.9058,1,c71,model
r114,https://www.instagram.com/reel/DW20px2kiNY/,comment,????,????,neu,0.3856,med,0.3562,1,t8,what_word_name,Exclamations and Questions,"Short, often emoji-filled comments expressing surprise or asking basic questions.",0.9464,0,c8,model
r115,https://www.instagram.com/reel/DW20px2kiNY/,comment,Things that would never happen ??,things that would never happen ??,neu,0.3587,med,0.3506,1,t0,get_your_now,Personal Statements,"Comments expressing personal needs, opinions, or future actions.",0.8624,1,c72,model
r116,https://www.instagram.com/reel/DW20px2kiNY/,comment,That was smooooooooth af,that was smooooooooth af,pos,0.3721,low,0.3450,0,t4,was_looks_smooth,Smooth and Youthful,"Comments focus on someone appearing smooth, young, or attractive.",0.9246,1,c73,model
r117,https://www.instagram.com/reel/DW20px2kiNY/,comment,?? amazing confusion,?? amazing confusion,neu,0.3476,med,0.3579,1,t8,what_word_name,Exclamations and Questions,"Short, often emoji-filled comments expressing surprise or asking basic questions.",0.9134,1,c74,model
r118,https://www.instagram.com/reel/DW20px2kiNY/,comment,That was god damn smart my man ??????????,that was god damn smart my man ??????????,pos,0.3668,med,0.3566,1,t4,was_looks_smooth,Smooth and Youthful,"Comments focus on someone appearing smooth, young, or attractive.",0.8915,1,c75,model
r119,https://www.instagram.com/reel/DW20px2kiNY/,comment,The typa reels instagram shows me ????????,the typa reels instagram shows me ????????,neu,0.3681,high,0.3508,1,t2,step_just_can,Step-by-Step Instructions,Comments outlining a series of steps to achieve a goal.,0.8638,1,c76,model
r120,https://www.instagram.com/reel/DW20px2kiNY/,comment,??,??,neu,0.3826,low,0.3469,1,t8,what_word_name,Exclamations and Questions,"Short, often emoji-filled comments expressing surprise or asking basic questions.",0.9594,0,c12,llm
r121,https://www.instagram.com/reel/DW20px2kiNY/,comment,,,,,,,,,,,,,0,,
r122,https://www.instagram.com/reel/DW20px2kiNY/,comment,Kneed matlab? ??,kneed matlab? ??,neu,0.3801,low,0.3397,1,t8,what_word_name,Exclamations and Questions,"Short, often emoji-filled comments expressing surprise or asking basic questions.",0.8624,1,c77,model
