canonical_id,old_theme_label,new_cluster_id,new_theme_label,is_mixed,coherence,supports_share,new_theme_description
c112,Smooth Move Compliments,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c113,Smooth Move Compliments,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c114,Smooth Move Compliments,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c115,MIXED,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c116,MIXED,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c117,Short Minimal Reactions,1,MIXED,1,0.7794,0.1500,"This cluster contains mostly question marks, confusion reactions ('??', 'Huh?', 'What?'), single letters, generic reactions ('Nice', 'oh', 'yes'), and one request for a name. These are non-topical reactions expressing confusion or minimal engagement, not comments about any specific subject matter."
c118,MIXED,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c119,MIXED,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c12,MIXED,1,MIXED,1,0.7794,0.1500,"This cluster contains mostly question marks, confusion reactions ('??', 'Huh?', 'What?'), single letters, generic reactions ('Nice', 'oh', 'yes'), and one request for a name. These are non-topical reactions expressing confusion or minimal engagement, not comments about any specific subject matter."
c120,MIXED,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c121,Knee Pun Wordplay,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c122,MIXED,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c123,MIXED,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c124,MIXED,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c125,MIXED,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c126,MIXED,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c127,MIXED,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c128,MIXED,1,MIXED,1,0.7794,0.1500,"This cluster contains mostly question marks, confusion reactions ('??', 'Huh?', 'What?'), single letters, generic reactions ('Nice', 'oh', 'yes'), and one request for a name. These are non-topical reactions expressing confusion or minimal engagement, not comments about any specific subject matter."
c129,Smooth Move Compliments,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c13,Smooth Move Compliments,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c130,MIXED,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c131,MIXED,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c132,MIXED,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c133,Smooth Move Compliments,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c134,Short Minimal Reactions,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c135,MIXED,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c136,Smooth Move Compliments,2,Praising Smooth Execution,0,0.8418,1.0000,"Comments complimenting something as being 'smooth' - likely referring to a skillful action, clever move, or well-executed moment. All comments use variations of 'smooth' with emphasis through spelling or emoji."
c137,Smooth Move Compliments,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c138,Smooth Move Compliments,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c139,Knee Pun Wordplay,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c14,MIXED,1,MIXED,1,0.7794,0.1500,"This cluster contains mostly question marks, confusion reactions ('??', 'Huh?', 'What?'), single letters, generic reactions ('Nice', 'oh', 'yes'), and one request for a name. These are non-topical reactions expressing confusion or minimal engagement, not comments about any specific subject matter."
c140,Short Minimal Reactions,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c141,MIXED,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c142,Smooth Move Compliments,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c143,Smooth Move Compliments,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c144,Movie Name Requests,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c145,MIXED,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c146,AI Content Questions,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c147,Knee Pun Wordplay,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c148,Critical Comments About Woman,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c149,Short Minimal Reactions,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c15,Smooth Move Compliments,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c150,MIXED,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c151,Smooth Move Compliments,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c152,MIXED,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c153,Critical Comments About Woman,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c154,Smooth Move Compliments,2,Praising Smooth Execution,0,0.8418,1.0000,"Comments complimenting something as being 'smooth' - likely referring to a skillful action, clever move, or well-executed moment. All comments use variations of 'smooth' with emphasis through spelling or emoji."
c155,MIXED,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c156,Critical Comments About Woman,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c157,Movie Name Requests,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c158,MIXED,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c159,MIXED,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c16,Knee Pun Wordplay,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c160,Short Minimal Reactions,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c161,Knee Pun Wordplay,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c162,Short Minimal Reactions,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c163,Traffic Stop Debate,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c164,AI Content Questions,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c165,MIXED,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c166,Traffic Stop Debate,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c167,Traffic Stop Debate,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c168,Traffic Stop Debate,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c169,MIXED,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c17,Knee Pun Wordplay,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c170,MIXED,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c171,MIXED,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c172,Traffic Stop Debate,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c173,Traffic Stop Debate,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c174,MIXED,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c175,MIXED,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c176,MIXED,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c177,Smooth Move Compliments,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c178,AI Content Questions,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c179,Strike System References,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c18,Knee Pun Wordplay,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c180,Traffic Stop Debate,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c181,Traffic Stop Debate,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c182,Strike System References,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c183,Strike System References,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c184,Movie Name Requests,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c185,AI Content Questions,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c186,MIXED,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c187,Movie Name Requests,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c188,MIXED,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c189,Short Minimal Reactions,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c19,Movie Name Requests,0,Asking for Movie Name,0,0.8044,0.9500,Comments requesting the title or name of a movie being discussed or shown. Nearly all comments directly ask 'what movie?' or 'movie name?' with variations in punctuation and phrasing.
c190,AI Content Questions,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c191,AI Content Questions,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c192,Traffic Stop Debate,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c193,Smooth Move Compliments,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c194,MIXED,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c195,MIXED,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c196,MIXED,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c197,Critical Comments About Woman,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c198,MIXED,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c199,Traffic Stop Debate,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c2,Smooth Move Compliments,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c20,MIXED,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c200,Critical Comments About Woman,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c201,Critical Comments About Woman,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c202,Critical Comments About Woman,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c203,MIXED,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c204,MIXED,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c205,MIXED,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c206,MIXED,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c207,MIXED,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c208,MIXED,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c209,MIXED,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c21,MIXED,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c210,Movie Name Requests,0,Asking for Movie Name,0,0.8044,0.9500,Comments requesting the title or name of a movie being discussed or shown. Nearly all comments directly ask 'what movie?' or 'movie name?' with variations in punctuation and phrasing.
c211,Critical Comments About Woman,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c212,Critical Comments About Woman,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c213,MIXED,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c214,Critical Comments About Woman,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c215,MIXED,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c216,Critical Comments About Woman,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c217,Smooth Move Compliments,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c218,MIXED,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c219,Critical Comments About Woman,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c220,Critical Comments About Woman,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c221,Movie Name Requests,0,Asking for Movie Name,0,0.8044,0.9500,Comments requesting the title or name of a movie being discussed or shown. Nearly all comments directly ask 'what movie?' or 'movie name?' with variations in punctuation and phrasing.
c222,MIXED,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c223,Smooth Move Compliments,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c224,MIXED,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c225,MIXED,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c226,Critical Comments About Woman,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c227,MIXED,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c228,MIXED,1,MIXED,1,0.7794,0.1500,"This cluster contains mostly question marks, confusion reactions ('??', 'Huh?', 'What?'), single letters, generic reactions ('Nice', 'oh', 'yes'), and one request for a name. These are non-topical reactions expressing confusion or minimal engagement, not comments about any specific subject matter."
c229,Critical Comments About Woman,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c23,Smooth Move Compliments,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c230,Knee Pun Wordplay,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c231,Critical Comments About Woman,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c232,Smooth Move Compliments,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c233,MIXED,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c234,Critical Comments About Woman,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c235,MIXED,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c236,Critical Comments About Woman,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c237,MIXED,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c238,Critical Comments About Woman,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c239,Critical Comments About Woman,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c24,MIXED,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c240,Smooth Move Compliments,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c241,Traffic Stop Debate,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c242,Traffic Stop Debate,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c243,Smooth Move Compliments,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c244,Smooth Move Compliments,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c245,Traffic Stop Debate,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c246,Smooth Move Compliments,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c247,Knee Pun Wordplay,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c248,MIXED,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c249,Knee Pun Wordplay,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c25,MIXED,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c250,Knee Pun Wordplay,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c251,Knee Pun Wordplay,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c252,Movie Name Requests,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c253,Knee Pun Wordplay,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c254,Short Minimal Reactions,1,MIXED,1,0.7794,0.1500,"This cluster contains mostly question marks, confusion reactions ('??', 'Huh?', 'What?'), single letters, generic reactions ('Nice', 'oh', 'yes'), and one request for a name. These are non-topical reactions expressing confusion or minimal engagement, not comments about any specific subject matter."
c255,MIXED,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c256,Knee Pun Wordplay,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c257,MIXED,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c258,MIXED,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c259,Critical Comments About Woman,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c26,Smooth Move Compliments,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c260,Short Minimal Reactions,1,MIXED,1,0.7794,0.1500,"This cluster contains mostly question marks, confusion reactions ('??', 'Huh?', 'What?'), single letters, generic reactions ('Nice', 'oh', 'yes'), and one request for a name. These are non-topical reactions expressing confusion or minimal engagement, not comments about any specific subject matter."
c261,MIXED,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c262,Smooth Move Compliments,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c263,Movie Name Requests,0,Asking for Movie Name,0,0.8044,0.9500,Comments requesting the title or name of a movie being discussed or shown. Nearly all comments directly ask 'what movie?' or 'movie name?' with variations in punctuation and phrasing.
c264,Short Minimal Reactions,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c265,AI Content Questions,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c266,Critical Comments About Woman,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c267,Smooth Move Compliments,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c268,MIXED,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c269,Movie Name Requests,0,Asking for Movie Name,0,0.8044,0.9500,Comments requesting the title or name of a movie being discussed or shown. Nearly all comments directly ask 'what movie?' or 'movie name?' with variations in punctuation and phrasing.
c27,Movie Name Requests,0,Asking for Movie Name,0,0.8044,0.9500,Comments requesting the title or name of a movie being discussed or shown. Nearly all comments directly ask 'what movie?' or 'movie name?' with variations in punctuation and phrasing.
c270,Movie Name Requests,0,Asking for Movie Name,0,0.8044,0.9500,Comments requesting the title or name of a movie being discussed or shown. Nearly all comments directly ask 'what movie?' or 'movie name?' with variations in punctuation and phrasing.
c271,MIXED,1,MIXED,1,0.7794,0.1500,"This cluster contains mostly question marks, confusion reactions ('??', 'Huh?', 'What?'), single letters, generic reactions ('Nice', 'oh', 'yes'), and one request for a name. These are non-topical reactions expressing confusion or minimal engagement, not comments about any specific subject matter."
c272,Short Minimal Reactions,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c273,MIXED,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c274,Smooth Move Compliments,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c275,MIXED,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c276,Short Minimal Reactions,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c277,MIXED,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c278,MIXED,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c279,Movie Name Requests,0,Asking for Movie Name,0,0.8044,0.9500,Comments requesting the title or name of a movie being discussed or shown. Nearly all comments directly ask 'what movie?' or 'movie name?' with variations in punctuation and phrasing.
c28,MIXED,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c280,MIXED,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c281,Short Minimal Reactions,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c282,AI Content Questions,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c283,AI Content Questions,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c284,MIXED,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c285,Short Minimal Reactions,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c286,Smooth Move Compliments,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c287,Movie Name Requests,0,Asking for Movie Name,0,0.8044,0.9500,Comments requesting the title or name of a movie being discussed or shown. Nearly all comments directly ask 'what movie?' or 'movie name?' with variations in punctuation and phrasing.
c288,Critical Comments About Woman,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c289,Critical Comments About Woman,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c29,MIXED,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c290,Smooth Move Compliments,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c291,AI Content Questions,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c292,Knee Pun Wordplay,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c293,MIXED,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c294,Movie Name Requests,0,Asking for Movie Name,0,0.8044,0.9500,Comments requesting the title or name of a movie being discussed or shown. Nearly all comments directly ask 'what movie?' or 'movie name?' with variations in punctuation and phrasing.
c295,AI Content Questions,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c296,Knee Pun Wordplay,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c297,Smooth Move Compliments,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c298,MIXED,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c299,MIXED,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c3,MIXED,1,MIXED,1,0.7794,0.1500,"This cluster contains mostly question marks, confusion reactions ('??', 'Huh?', 'What?'), single letters, generic reactions ('Nice', 'oh', 'yes'), and one request for a name. These are non-topical reactions expressing confusion or minimal engagement, not comments about any specific subject matter."
c30,Smooth Move Compliments,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c300,Movie Name Requests,0,Asking for Movie Name,0,0.8044,0.9500,Comments requesting the title or name of a movie being discussed or shown. Nearly all comments directly ask 'what movie?' or 'movie name?' with variations in punctuation and phrasing.
c301,Smooth Move Compliments,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c302,Smooth Move Compliments,2,Praising Smooth Execution,0,0.8418,1.0000,"Comments complimenting something as being 'smooth' - likely referring to a skillful action, clever move, or well-executed moment. All comments use variations of 'smooth' with emphasis through spelling or emoji."
c303,Smooth Move Compliments,2,Praising Smooth Execution,0,0.8418,1.0000,"Comments complimenting something as being 'smooth' - likely referring to a skillful action, clever move, or well-executed moment. All comments use variations of 'smooth' with emphasis through spelling or emoji."
c304,Smooth Move Compliments,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c305,Smooth Move Compliments,2,Praising Smooth Execution,0,0.8418,1.0000,"Comments complimenting something as being 'smooth' - likely referring to a skillful action, clever move, or well-executed moment. All comments use variations of 'smooth' with emphasis through spelling or emoji."
c306,AI Content Questions,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c307,Short Minimal Reactions,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c308,MIXED,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c309,Short Minimal Reactions,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
