row_id,input_url,content_type,text_raw,text_norm,sentiment_label,sentiment_confidence,watch_intent_label,watch_intent_confidence,confusion_flag,theme_id,theme_label,theme_human_label,theme_description,theme_confidence,is_canonical,canonical_id,label_source,primary_username,any_owner,rule_1_owner,rule_3_cross_video_long_dup,rule_4_creator_commenter,theme_human_label_retheme,theme_id_retheme,theme_cohesion_retheme
r16,https://www.instagram.com/reel/DW20px2kiNY/,comment,"It literally screams, ""That's how I met your mother."" ????","it literally screams, ""that's how i met your mother."" ????",neu,0.3525,low,0.352,1.0,t4,was_looks_smooth,Smooth and Youthful,"Comments focus on someone appearing smooth, young, or attractive.",0.8856,1,c13,llm,sajal_shrivastava2004,False,False,False,False,Rizz and Charm Praise,15,0.5926
r17,https://www.instagram.com/reel/DW20px2kiNY/,comment,,,,,,,,,,,,,0,,,,,False,False,False,Other,45,0.6571
r18,https://www.instagram.com/reel/DW20px2kiNY/,comment,,,,,,,,,,,,,0,,,,,False,False,False,Other,45,0.6571
r19,https://www.instagram.com/reel/DW20px2kiNY/,reply,????????,????????,neu,0.3793,low,0.3544,1.0,t8,what_word_name,Exclamations and Questions,"Short, often emoji-filled comments expressing surprise or asking basic questions.",0.9333,1,c14,llm,ann123330,False,False,False,False,Confusion Reactions,33,0.7770
r21,https://www.instagram.com/reel/DW20px2kiNY/,comment,Imagine the amount of time he had this rizz in his mind and pulled it when the right time comes ??,imagine the amount of time he had this rizz in his mind and pulled it when the right time comes ??,pos,0.3529,high,0.3572,1.0,t4,was_looks_smooth,Smooth and Youthful,"Comments focus on someone appearing smooth, young, or attractive.",0.8619,1,c15,llm,_.rishi_0021_,False,False,False,False,Rizz and Charm Praise,15,0.5926
r22,https://www.instagram.com/reel/DW20px2kiNY/,comment,,,,,,,,,,,,,0,,,,,False,False,False,Other,45,0.6571
r23,https://www.instagram.com/reel/DW20px2kiNY/,comment,????????,????????,neu,0.3793,low,0.3544,1.0,t8,what_word_name,Exclamations and Questions,"Short, often emoji-filled comments expressing surprise or asking basic questions.",0.9333,0,c14,llm,ann123330,False,False,False,False,Confusion Reactions,33,0.7770
r24,https://www.instagram.com/reel/DW20px2kiNY/,comment,They both kneed Brain ??,they both kneed brain ??,neg,0.3528,low,0.3481,1.0,t7,kneed_knee_need,Wordplay on 'Knee',"Comments playing on the words 'need' and 'knee', often with humorous intent.",0.9098,1,c16,llm,amroyall,False,False,False,False,Kneed vs Need Wordplay,54,0.6689
r26,https://www.instagram.com/reel/DW20px2kiNY/,reply,@amroyall ??,??,neu,0.3826,low,0.3469,1.0,t8,what_word_name,Exclamations and Questions,"Short, often emoji-filled comments expressing surprise or asking basic questions.",0.9594,0,c12,llm,the_winter16,False,False,False,False,Other,-1,0.0000
r27,https://www.instagram.com/reel/DW20px2kiNY/,reply,@amroyall may be brain in knee.. ????,may be brain in knee.. ????,neg,0.367,low,0.3465,1.0,t7,kneed_knee_need,Wordplay on 'Knee',"Comments playing on the words 'need' and 'knee', often with humorous intent.",0.8925,1,c17,llm,santosh_kandulatr,False,False,False,False,Kneed vs Need Wordplay,55,0.7836
r28,https://www.instagram.com/reel/DW20px2kiNY/,comment,Kneed?need???,kneed?need???,neg,0.3702,low,0.3429,1.0,t7,kneed_knee_need,Wordplay on 'Knee',"Comments playing on the words 'need' and 'knee', often with humorous intent.",0.9457,1,c18,llm,__ali_rehman_,False,False,False,False,Kneed vs Need Wordplay,54,0.6689
r29,https://www.instagram.com/reel/DW20px2kiNY/,comment,Which movie,which movie,neu,0.3696,high,0.3781,0.0,t6,movie_name_what,Media Identification,Users are asking for the name of the movie or show being featured.,0.9372,1,c19,llm,rohitmatte_,False,False,False,False,Content Name Requests,34,0.8339
r30,https://www.instagram.com/reel/DW20px2kiNY/,comment,That's a new word for me,that's a new word for me,neu,0.3747,med,0.3576,1.0,t8,what_word_name,Exclamations and Questions,"Short, often emoji-filled comments expressing surprise or asking basic questions.",0.8709,1,c20,llm,_raj_nish_,False,False,False,False,New Word Discovery,24,0.7532
r31,https://www.instagram.com/reel/DW20px2kiNY/,comment,and how they meet together.,and how they meet together.,neu,0.377,med,0.3564,1.0,t2,step_just_can,Step-by-Step Instructions,Comments outlining a series of steps to achieve a goal.,0.8203,1,c21,llm,bryce._crawford,False,False,False,False,Other,-1,0.0000
r33,https://www.instagram.com/reel/DW20px2kiNY/,comment,Bro was waiting for this moment for a long time ??,bro was waiting for this moment for a long time ??,pos,0.3506,high,0.3449,0.0,t4,was_looks_smooth,Smooth and Youthful,"Comments focus on someone appearing smooth, young, or attractive.",0.883,1,c23,llm,rasheed_ghazi______,False,False,False,False,Rizz and Charm Praise,15,0.5926
r34,https://www.instagram.com/reel/DW20px2kiNY/,comment,Now I need paracetamol ??,now i need paracetamol ??,neu,0.3572,low,0.3396,1.0,t2,step_just_can,Step-by-Step Instructions,Comments outlining a series of steps to achieve a goal.,0.8594,1,c24,llm,naughty_saara_,False,False,False,False,Kneed vs Need Wordplay,54,0.6689
r35,https://www.instagram.com/reel/DW20px2kiNY/,comment,Bohot mehnge khaab hn ye imagine mt krne lg jana??,bohot mehnge khaab hn ye imagine mt krne lg jana??,neu,0.353,low,0.352,0.0,t2,step_just_can,Step-by-Step Instructions,Comments outlining a series of steps to achieve a goal.,0.8602,1,c25,llm,afzalhere_,False,False,False,False,Rizz and Charm Praise,15,0.5926
r36,https://www.instagram.com/reel/DW20px2kiNY/,comment,"If rizz was a person, this guy would be its father ??","if rizz was a person, this guy would be its father ??",pos,0.3464,high,0.3469,0.0,t4,was_looks_smooth,Smooth and Youthful,"Comments focus on someone appearing smooth, young, or attractive.",0.8776,1,c26,llm,_mehdi_n_china_,False,False,False,False,Rizz and Charm Praise,15,0.5926
r37,https://www.instagram.com/reel/DW20px2kiNY/,comment,Which tv series/movie?,which tv series/movie?,neu,0.3728,high,0.4086,1.0,t6,movie_name_what,Media Identification,Users are asking for the name of the movie or show being featured.,0.9215,1,c27,llm,srinath_sriram,False,False,False,False,Content Name Requests,10,0.8378
r38,https://www.instagram.com/reel/DW20px2kiNY/,reply,@srinath_sriram just a sketch,just a sketch,neu,0.3678,low,0.3471,0.0,t2,step_just_can,Step-by-Step Instructions,Comments outlining a series of steps to achieve a goal.,0.8816,1,c28,llm,lukester_177,False,False,False,False,Other,-1,0.0000
r39,https://www.instagram.com/reel/DW20px2kiNY/,reply,@lukester_177 whyyyyy. ??,whyyyyy. ??,neu,0.3756,low,0.3426,0.0,t8,what_word_name,Exclamations and Questions,"Short, often emoji-filled comments expressing surprise or asking basic questions.",0.907,1,c29,llm,sh3114,False,False,False,False,Other,38,0.7342
r40,https://www.instagram.com/reel/DW20px2kiNY/,comment,Bro rizzy is from the moon ????,bro rizzy is from the moon ????,neu,0.3517,low,0.3458,1.0,t4,was_looks_smooth,Smooth and Youthful,"Comments focus on someone appearing smooth, young, or attractive.",0.8446,1,c30,llm,iden_tyzooo,False,False,False,False,Rizz and Charm Praise,15,0.5926
r42,https://www.instagram.com/reel/DW20px2kiNY/,comment,Movie name?,movie name?,neu,0.3731,high,0.383,1.0,t6,movie_name_what,Media Identification,Users are asking for the name of the movie or show being featured.,0.959,1,c31,llm,avksnipe,False,False,False,False,Content Name Requests,35,0.8012
r43,https://www.instagram.com/reel/DW20px2kiNY/,comment,Is she the same from game of thrones??,is she the same from game of thrones??,neu,0.3613,med,0.3638,0.0,t1,she_her_women,Observations on Women,"Comments discussing women's reactions, needs, or behaviors.",0.8647,1,c32,llm,thefilmy_vault,False,False,False,False,Other,9,0.6008
r44,https://www.instagram.com/reel/DW20px2kiNY/,comment,I'm gonna use this one. Wish me luck ??,i'm gonna use this one. wish me luck ??,neu,0.3703,med,0.3529,1.0,t2,step_just_can,Step-by-Step Instructions,Comments outlining a series of steps to achieve a goal.,0.9154,1,c33,model,bachover_skeeters,False,False,False,False,Other,36,0.6831
r45,https://www.instagram.com/reel/DW20px2kiNY/,comment,Ducking english ??,ducking english ??,neu,0.3671,low,0.3525,1.0,t8,what_word_name,Exclamations and Questions,"Short, often emoji-filled comments expressing surprise or asking basic questions.",0.8769,1,c34,model,incredible_watiqueali,False,False,False,False,English Language Criticism,29,0.6770
r47,https://www.instagram.com/reel/DW20px2kiNY/,comment,Knee you ? need you ???,knee you ? need you ???,neu,0.3616,low,0.3471,1.0,t7,kneed_knee_need,Wordplay on 'Knee',"Comments playing on the words 'need' and 'knee', often with humorous intent.",0.941,1,c35,model,avijitsarkar099,False,False,False,False,Kneed vs Need Wordplay,54,0.6689
r48,https://www.instagram.com/reel/DW20px2kiNY/,reply,@avijitsarkar099 what about past?,what about past?,neu,0.3842,med,0.3456,1.0,t8,what_word_name,Exclamations and Questions,"Short, often emoji-filled comments expressing surprise or asking basic questions.",0.8855,1,c36,model,ayushpawar86,False,False,False,False,Requesting Explanation or Context,43,0.7245
r49,https://www.instagram.com/reel/DW20px2kiNY/,comment,,,,,,,,,,,,,0,,,,,False,False,False,Other,45,0.6571
r50,https://www.instagram.com/reel/DW20px2kiNY/,comment,New strat,new strat,neu,0.3634,med,0.3388,0.0,t2,step_just_can,Step-by-Step Instructions,Comments outlining a series of steps to achieve a goal.,0.9006,1,c37,model,yadriel0328,False,False,False,False,Other,-1,0.0000
r52,https://www.instagram.com/reel/DW20px2kiNY/,comment,Where is Duolingo,where is duolingo,neu,0.3709,high,0.3612,1.0,t8,what_word_name,Exclamations and Questions,"Short, often emoji-filled comments expressing surprise or asking basic questions.",0.8461,1,c38,model,adii.__.verma,False,False,False,False,Cannot Find Content,18,0.6331
r53,https://www.instagram.com/reel/DW20px2kiNY/,comment,@pratik_gaikwad486  aisaa smooth kab khela tha,aisaa smooth kab khela tha,neu,0.3533,low,0.3367,0.0,t4,was_looks_smooth,Smooth and Youthful,"Comments focus on someone appearing smooth, young, or attractive.",0.8745,1,c39,model,rishi_metangale,False,False,False,False,Smooth Move Praise,4,0.7562
r54,https://www.instagram.com/reel/DW20px2kiNY/,reply,@rishi_metangale meh nahi khelta ?????,meh nahi khelta ?????,neu,0.361,low,0.3597,1.0,t8,what_word_name,Exclamations and Questions,"Short, often emoji-filled comments expressing surprise or asking basic questions.",0.869,1,c40,model,pratik_gaikwad486,False,False,False,False,Compliments on Gameplay,0,0.7062
r55,https://www.instagram.com/reel/DW20px2kiNY/,comment,"your. or You’re.  or 
you are  gonna fall for that. ?",your. or you’re. or you are gonna fall for that. ?,neu,0.363,med,0.3519,1.0,t0,get_your_now,Personal Statements,"Comments expressing personal needs, opinions, or future actions.",0.8655,1,c41,model,retired__engineer,False,False,False,False,Other,-1,0.0000
r56,https://www.instagram.com/reel/DW20px2kiNY/,comment,"Anything after her information and his clarification should have been from him ""I'm going back to sleep now, have a great trip.""","anything after her information and his clarification should have been from him ""i'm going back to sleep now, have a great trip.""",neu,0.3627,low,0.3573,0.0,t9,over_was_just,Speeding and Traffic Stops,"Discussions related to speeding, traffic tickets, and being pulled over.",0.8412,1,c42,model,snufleupagus69,False,False,False,False,Woman's Reaction Analysis,39,0.5813
r57,https://www.instagram.com/reel/DW20px2kiNY/,comment,Don't be so happy. Never gonna happen with you.,don't be so happy. never gonna happen with you.,neg,0.3468,low,0.3813,0.0,t0,get_your_now,Personal Statements,"Comments expressing personal needs, opinions, or future actions.",0.9144,1,c43,model,santoshsahoo077,False,False,False,False,Other,42,0.5359
r58,https://www.instagram.com/reel/DW20px2kiNY/,reply,@santoshsahoo077 screw you,screw you,neg,0.3833,low,0.387,0.0,t11,killer_service_name,Positive Affirmations,"Short, positive comments like 'yes' or 'welcome'.",0.8911,1,c44,model,watchur.irl,False,False,False,False,Hostile Dismissive Reactions,19,0.6268
r59,https://www.instagram.com/reel/DW20px2kiNY/,comment,I am using this one,i am using this one,neu,0.3585,med,0.336,0.0,t2,step_just_can,Step-by-Step Instructions,Comments outlining a series of steps to achieve a goal.,0.9036,1,c45,model,alt.iamprithvi,False,False,False,False,Other,20,0.6300
r60,https://www.instagram.com/reel/DW20px2kiNY/,comment,????,????,neu,0.3856,med,0.3562,1.0,t8,what_word_name,Exclamations and Questions,"Short, often emoji-filled comments expressing surprise or asking basic questions.",0.9464,0,c8,model,central_xcx,False,False,False,False,Confusion Reactions,33,0.7770
r61,https://www.instagram.com/reel/DW20px2kiNY/,comment,Og,og,neu,0.3486,low,0.3565,0.0,t11,killer_service_name,Positive Affirmations,"Short, positive comments like 'yes' or 'welcome'.",0.9443,1,c46,model,vdobriyal762,False,False,False,False,Other,50,0.7095
r62,https://www.instagram.com/reel/DW20px2kiNY/,comment,Hella smooth ??,hella smooth ??,neu,0.3572,med,0.3379,1.0,t4,was_looks_smooth,Smooth and Youthful,"Comments focus on someone appearing smooth, young, or attractive.",0.9292,1,c47,model,shubham_y666,False,False,False,False,Other,-1,0.0000
r63,https://www.instagram.com/reel/DW20px2kiNY/,comment,Explain,explain,neu,0.3744,med,0.3447,1.0,t11,killer_service_name,Positive Affirmations,"Short, positive comments like 'yes' or 'welcome'.",0.8942,1,c48,model,m_26_c,False,False,False,False,Other,-1,0.0000
r64,https://www.instagram.com/reel/DW20px2kiNY/,comment,"Series, movies or just an ad?","series, movies or just an ad?",neu,0.3671,high,0.3804,1.0,t6,movie_name_what,Media Identification,Users are asking for the name of the movie or show being featured.,0.9025,1,c49,model,theenthusiasticyogi,False,False,False,False,Other,-1,0.0000
r65,https://www.instagram.com/reel/DW20px2kiNY/,comment,??????????,??????????,neu,0.3787,med,0.349,1.0,t8,what_word_name,Exclamations and Questions,"Short, often emoji-filled comments expressing surprise or asking basic questions.",0.9324,1,c50,model,brozek_kamila,False,False,False,False,Confusion Reactions,33,0.7770
r66,https://www.instagram.com/reel/DW20px2kiNY/,comment,Bro's rizz is universe level ???,bro's rizz is universe level ???,pos,0.3466,high,0.3378,1.0,t4,was_looks_smooth,Smooth and Youthful,"Comments focus on someone appearing smooth, young, or attractive.",0.9066,1,c51,model,shirk_333,False,False,False,False,Rizz and Charm Praise,15,0.5926
r69,https://www.instagram.com/reel/DW20px2kiNY/,comment,,,,,,,,,,,,,0,,,,,False,False,False,Other,45,0.6571
r70,https://www.instagram.com/reel/DW20px2kiNY/,comment,,,,,,,,,,,,,0,,,,,False,False,False,Other,45,0.6571
r71,https://www.instagram.com/reel/DW20px2kiNY/,comment,Well played ????,well played ????,pos,0.3544,high,0.3366,1.0,t4,was_looks_smooth,Smooth and Youthful,"Comments focus on someone appearing smooth, young, or attractive.",0.8934,1,c52,model,31_atharva_02,False,False,False,False,Compliments on Gameplay,0,0.7062
r72,https://www.instagram.com/reel/DW20px2kiNY/,comment,Bhai that was something ??,bhai that was something ??,neu,0.3686,med,0.3522,1.0,t4,was_looks_smooth,Smooth and Youthful,"Comments focus on someone appearing smooth, young, or attractive.",0.9081,1,c53,model,_loststoriesnhihai,False,False,False,False,Other,30,0.6566
r73,https://www.instagram.com/reel/DW20px2kiNY/,comment,Anyone plz cmnt who knows this movie name ?,anyone plz cmnt who knows this movie name ?,neu,0.3649,high,0.3806,1.0,t6,movie_name_what,Media Identification,Users are asking for the name of the movie or show being featured.,0.9027,1,c54,model,seaescape__01,False,False,False,False,Content Name Requests,35,0.8012
r76,https://www.instagram.com/reel/DW20px2kiNY/,comment,oh ! this is so cute ????,oh ! this is so cute ????,pos,0.3569,med,0.3518,1.0,t4,was_looks_smooth,Smooth and Youthful,"Comments focus on someone appearing smooth, young, or attractive.",0.9001,1,c55,model,appmafia_300xx,False,False,False,False,Generic Positive Reactions,25,0.7244
r77,https://www.instagram.com/reel/DW20px2kiNY/,comment,U play very well ??,u play very well ??,pos,0.3575,med,0.3398,1.0,t4,was_looks_smooth,Smooth and Youthful,"Comments focus on someone appearing smooth, young, or attractive.",0.8724,1,c56,model,ankit__shah__21,False,False,False,False,Compliments on Gameplay,0,0.7062
r78,https://www.instagram.com/reel/DW20px2kiNY/,comment,Okay talk about falling into the greatest line ever that's awesome??,okay talk about falling into the greatest line ever that's awesome??,pos,0.3797,med,0.351,1.0,t4,was_looks_smooth,Smooth and Youthful,"Comments focus on someone appearing smooth, young, or attractive.",0.8316,1,c57,model,callahan819,False,False,False,False,Clever Move Praise,31,0.6529
r80,https://www.instagram.com/reel/DW20px2kiNY/,comment,,,,,,,,,,,,,0,,,,,False,False,False,Other,45,0.6571
r81,https://www.instagram.com/reel/DW20px2kiNY/,comment,Any woman that touches your balls the first time you meet is a potential keeper ...,any woman that touches your balls the first time you meet is a potential keeper ...,neu,0.3553,med,0.3654,0.0,t1,she_her_women,Observations on Women,"Comments discussing women's reactions, needs, or behaviors.",0.8385,1,c58,model,buzztaxitm,False,False,False,False,Other,1,0.5150
r82,https://www.instagram.com/reel/DW20px2kiNY/,reply,@buzztaxitm ????,????,neu,0.3856,med,0.3562,1.0,t8,what_word_name,Exclamations and Questions,"Short, often emoji-filled comments expressing surprise or asking basic questions.",0.9464,0,c8,model,loneranger4548,False,False,False,False,Confusion Reactions,33,0.7770
r83,https://www.instagram.com/reel/DW20px2kiNY/,comment,Thats how chutiya english is,thats how chutiya english is,neu,0.341,low,0.3431,0.0,t4,was_looks_smooth,Smooth and Youthful,"Comments focus on someone appearing smooth, young, or attractive.",0.8628,1,c59,model,shubhamchoudhari02,False,False,False,False,English Language Criticism,29,0.6770
r84,https://www.instagram.com/reel/DW20px2kiNY/,comment,????,????,neu,0.3856,med,0.3562,1.0,t8,what_word_name,Exclamations and Questions,"Short, often emoji-filled comments expressing surprise or asking basic questions.",0.9464,0,c8,model,central_xcx,False,False,False,False,Confusion Reactions,33,0.7770
r86,https://www.instagram.com/reel/DW20px2kiNY/,comment,That was smooth though,that was smooth though,pos,0.3592,med,0.3512,0.0,t4,was_looks_smooth,Smooth and Youthful,"Comments focus on someone appearing smooth, young, or attractive.",0.9103,1,c60,model,rishhhhh.exe,False,False,False,False,Other,5,0.6895
r87,https://www.instagram.com/reel/DW20px2kiNY/,comment,@yogeshwar_behara,,,,,,,,,,,,0,,,vinnii78,False,False,False,False,Other,45,0.6571
r88,https://www.instagram.com/reel/DW20px2kiNY/,comment,??????????,??????????,neu,0.3787,med,0.349,1.0,t8,what_word_name,Exclamations and Questions,"Short, often emoji-filled comments expressing surprise or asking basic questions.",0.9324,0,c50,model,brozek_kamila,False,False,False,False,Confusion Reactions,33,0.7770
r89,https://www.instagram.com/reel/DW20px2kiNY/,comment,??????????,??????????,neu,0.3787,med,0.349,1.0,t8,what_word_name,Exclamations and Questions,"Short, often emoji-filled comments expressing surprise or asking basic questions.",0.9324,0,c50,model,brozek_kamila,False,False,False,False,Confusion Reactions,33,0.7770
r90,https://www.instagram.com/reel/DW20px2kiNY/,comment,??????????????????,??????????????????,neu,0.3739,med,0.3471,1.0,t8,what_word_name,Exclamations and Questions,"Short, often emoji-filled comments expressing surprise or asking basic questions.",0.925,1,c61,model,wonderfully_made_2025_1958,False,False,False,False,Confusion Reactions,33,0.7770
r93,https://www.instagram.com/reel/DW20px2kiNY/,comment,6,6,neu,0.3611,low,0.3482,0.0,t11,killer_service_name,Positive Affirmations,"Short, positive comments like 'yes' or 'welcome'.",0.9267,1,c62,model,chatbot_sin13,False,False,False,False,Other,45,0.6571
r94,https://www.instagram.com/reel/DW20px2kiNY/,comment,,,,,,,,,,,,,0,,,,,False,False,False,Other,45,0.6571
r95,https://www.instagram.com/reel/DW20px2kiNY/,comment,There’s no way any dude with any self-respect would entertain any fucking chick that starts acting like that,there’s no way any dude with any self-respect would entertain any fucking chick that starts acting like that,neg,0.3668,low,0.3608,0.0,t1,she_her_women,Observations on Women,"Comments discussing women's reactions, needs, or behaviors.",0.8655,1,c63,model,freshknobbies303,False,False,False,False,Critical Women Comments,6,0.6719
r96,https://www.instagram.com/reel/DW20px2kiNY/,comment,Nah I'm gonna hit a jab to a 9 year old boy,nah i'm gonna hit a jab to a 9 year old boy,neg,0.3456,low,0.3541,0.0,t0,get_your_now,Personal Statements,"Comments expressing personal needs, opinions, or future actions.",0.8529,1,c64,model,hitesh.rxo,False,False,False,False,Other,-1,0.0000
r97,https://www.instagram.com/reel/DW20px2kiNY/,comment,????????,????????,neu,0.3793,low,0.3544,1.0,t8,what_word_name,Exclamations and Questions,"Short, often emoji-filled comments expressing surprise or asking basic questions.",0.9333,0,c14,llm,ann123330,False,False,False,False,Confusion Reactions,33,0.7770
r99,https://www.instagram.com/reel/DW20px2kiNY/,comment,,,,,,,,,,,,,0,,,,,False,False,False,Other,45,0.6571
r100,https://www.instagram.com/reel/DW20px2kiNY/,comment,,,,,,,,,,,,,0,,,,,False,False,False,Other,45,0.6571
r101,https://www.instagram.com/reel/DW20px2kiNY/,comment,,,,,,,,,,,,,0,,,,,False,False,False,Other,45,0.6571
r102,https://www.instagram.com/reel/DW20px2kiNY/,comment,Movie name?,movie name?,neu,0.3731,high,0.383,1.0,t6,movie_name_what,Media Identification,Users are asking for the name of the movie or show being featured.,0.959,0,c31,llm,avksnipe,False,False,False,False,Content Name Requests,35,0.8012
r103,https://www.instagram.com/reel/DW20px2kiNY/,comment,Did they do it,did they do it,neu,0.3713,med,0.3436,0.0,t10,not_pilot_season,AI or Fake Content,Comments questioning if the content is AI-generated or not real.,0.8751,1,c65,model,will_patrickkk,False,False,False,False,Other,30,0.6566
r104,https://www.instagram.com/reel/DW20px2kiNY/,comment,Nice ????,nice ????,neu,0.3609,med,0.3488,1.0,t11,killer_service_name,Positive Affirmations,"Short, positive comments like 'yes' or 'welcome'.",0.9328,1,c66,model,eeshwar11,False,False,False,False,Generic Positive Reactions,25,0.7244
r105,https://www.instagram.com/reel/DW20px2kiNY/,comment,????,????,neu,0.3856,med,0.3562,1.0,t8,what_word_name,Exclamations and Questions,"Short, often emoji-filled comments expressing surprise or asking basic questions.",0.9464,0,c8,model,central_xcx,False,False,False,False,Confusion Reactions,33,0.7770
r106,https://www.instagram.com/reel/DW20px2kiNY/,comment,,,,,,,,,,,,,0,,,,,False,False,False,Other,45,0.6571
r107,https://www.instagram.com/reel/DW20px2kiNY/,comment,I think I would fall in love on the spot??????,i think i would fall in love on the spot??????,neu,0.3534,med,0.3669,1.0,t2,step_just_can,Step-by-Step Instructions,Comments outlining a series of steps to achieve a goal.,0.8456,1,c67,model,sisterara,False,False,False,False,Other,1,0.5150
r108,https://www.instagram.com/reel/DW20px2kiNY/,comment,Smooothhh,smooothhh,pos,0.3506,low,0.3503,0.0,t4,was_looks_smooth,Smooth and Youthful,"Comments focus on someone appearing smooth, young, or attractive.",0.9125,1,c68,model,munashe4716,False,False,False,False,Smooth Move Praise,3,0.8047
r109,https://www.instagram.com/reel/DW20px2kiNY/,comment,Pindriye !!! Indha karumam dhane vara maatingidhu,pindriye !!! indha karumam dhane vara maatingidhu,neu,0.3439,low,0.3404,0.0,t2,step_just_can,Step-by-Step Instructions,Comments outlining a series of steps to achieve a goal.,0.8608,1,c69,model,strange.sp10,False,False,False,False,Other,-1,0.0000
r110,https://www.instagram.com/reel/DW20px2kiNY/,comment,,,,,,,,,,,,,0,,,,,False,False,False,Other,45,0.6571
r111,https://www.instagram.com/reel/DW20px2kiNY/,comment,,,,,,,,,,,,,0,,,,,False,False,False,Other,45,0.6571
r112,https://www.instagram.com/reel/DW20px2kiNY/,comment,Which movie??,which movie??,neu,0.3701,high,0.385,1.0,t6,movie_name_what,Media Identification,Users are asking for the name of the movie or show being featured.,0.9537,1,c70,model,eishaan_malik,False,False,False,False,Content Name Requests,32,0.7451
